"Name","smiles","Total.Molweight","Molweight","Monoisotopic.Mass","cLogP","cLogS","H.Acceptors","H.Donors","Total.Surface.Area","Relative.PSA","Polar.Surface.Area","Druglikeness","Mutagenic","Tumorigenic","Reproductive.Effective","Irritant","Shape.Index","Molecular.Flexibility","Molecular.Complexity","Fragments","Non.H.Atoms","Non.C.H.Atoms","Metal.Atoms","Electronegative.Atoms","Stereo.Centers","Rotatable.Bonds","Rings.Closures","Small.Rings","Aromatic.Rings","Aromatic.Atoms","sp3.Atoms","Symmetric.atoms","Amides","Amines","Alkyl.Amines","Aromatic.Amines","Aromatic.Nitrogens","Basic.Nitrogens","Acidic.Oxygens","DataSet"
"4-bromo-1H-pyrrole-2-carboxylic acid","O=C(O)C1=CC(Br)=CN1",189.996,189.996,188.94254,0.6464,-1.511,3,2,105.56,0.38016,53.09,-3.3816,"none","none","none","none",0.66667,0.31762,0.77276,1,9,4,0,4,0,1,1,1,1,5,1,0,0,0,0,0,1,0,1,"NewGeroprotectors"
"9-hydroxy-6,6,9a-trimethyl-dodecahydronaphtho[1,2-c]furan-3-one","O=C1OCC2C1CCC3C(C)(C)CCC(O)C23C",252.353,252.353,252.172545,1.9188,-2.98,3,1,183.5,0.19695,46.53,-0.67043,"none","none","none","none",0.44444,0.27338,0.84632,1,18,3,0,3,5,0,3,3,0,0,16,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"Streptazone A","O=C1C=C2NCCC3OC23C1=CC",177.202,177.202,177.078979,0.2655,-1.571,3,1,131.97,0.31939,41.63,2.0408,"none","none","none","none",0.53846,0.14391,0.87307,1,13,3,0,3,2,0,3,4,0,0,6,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"furan-2-carboxamide","O=C(N)C=1OC=CC1",111.1,111.1,111.032029,-0.0644,-1.387,3,1,89.22,0.47545,56.23,0.1825,"none","none","none","none",0.625,0.29056,0.7083,1,8,3,0,3,0,1,1,1,1,5,0,0,1,0,0,0,0,0,0,"NewGeroprotectors"
"methyl 2-hydroxy-2-methylpropanoate","O=C(OC)C(O)(C)C",118.131,118.131,118.062995,-0.058,-0.567,3,1,94.79,0.38126,46.53,-5.8172,"none","none","none","none",0.625,0.6653,0.76753,1,8,3,0,3,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"1H-imidazol-5-amine","N1=CNC(N)=C1",83.0937,83.0937,83.048347,-0.5061,-1.032,3,2,70.11,0.57381,54.7,0.60739,"none","none","none","none",0.66667,0,0.69315,1,6,3,0,3,0,0,1,1,1,5,0,0,0,0,0,0,2,1,0,"NewGeroprotectors"
"Nankakurine A","N1CCCCC12CC3CC(C)CC4N(C)CC2CC43",262.439,262.439,262.240898,2.5449,-2.851,2,1,202.53,0.074112,15.27,2.4261,"none","none","none","none",0.47368,0.33367,0.8591,1,19,2,0,2,6,0,4,4,0,0,19,0,0,2,2,0,0,2,0,"NewGeroprotectors"
"2-amino-1-(4-methoxyphenyl)ethan-1-ol","OC(C1=CC=C(OC)C=C1)CN",167.207,167.207,167.094629,-0.0455,-1.158,3,2,136.65,0.28079,55.48,-1.0746,"none","none","none","none",0.75,0.39695,0.59256,1,12,3,0,3,1,3,1,1,1,6,6,2,0,1,1,0,0,1,0,"NewGeroprotectors"
"Pallinol","OC1C=C(C)CC(O)C2C(O)(CCC12C)C(C)C",254.368,254.368,254.188195,1.8921,-2.511,3,3,191.4,0.20533,60.69,-5.4433,"none","none","none","none",0.44444,0.32833,0.82973,1,18,3,0,3,5,1,2,2,0,0,16,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"Leucinic Acid","O=C(O)C(O)CC(C)C",132.158,132.158,132.078645,0.2606,-1.03,3,2,107.23,0.36594,57.53,-1.8763,"none","none","none","none",0.66667,0.70883,0.57565,1,9,3,0,3,1,3,0,0,0,0,7,1,0,0,0,0,0,0,1,"NewGeroprotectors"
"1-propyl-1H,2H,3H,4H,9H-pyrido[3,4-b]indol-6-ol","OC=1C=CC=2NC3=C(C2C1)CCNC3CCC",230.31,230.31,230.141913,2.6162,-2.705,3,3,181.54,0.21235,48.05,-0.18628,"none","none","none","none",0.58824,0.17966,0.86255,1,17,3,0,3,1,2,3,3,2,9,8,0,0,1,1,0,1,1,0,"NewGeroprotectors"
"1-(3-hydroxyfuran-2-yl)ethan-1-one","O=C(C=1OC=CC1O)C",126.111,126.111,126.031695,0.3738,-1.686,3,1,99.31,0.4053,50.44,-0.81221,"none","none","none","none",0.55556,0.028428,0.80472,1,9,3,0,3,0,1,1,1,1,5,2,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"6-(hydroxymethyl)piperidin-3-ol","OCC1NCC(O)CC1",131.174,131.174,131.094629,-0.7096,-0.597,3,3,104.2,0.36142,52.49,-0.74877,"none","none","none","none",0.77778,0.45708,0.69315,1,9,3,0,3,2,1,1,1,0,0,9,0,0,1,1,0,0,1,0,"NewGeroprotectors"
"Cleroindicin A","OC1CCC2(OCC2)CC1",142.197,142.197,142.09938,0.7074,-1.705,2,1,108.32,0.21326,29.46,-1.2141,"none","none","none","none",0.7,0.25323,0.66644,1,10,2,0,2,0,0,2,2,0,0,10,2,0,0,0,0,0,0,0,"NewGeroprotectors"
"1H,2H,4H,5H,7H-furo[3,4-d][1,3]thiazin-7-one","O=C1OCC2=C1NCSC2",157.193,157.193,157.019749,-0.2145,-1.813,3,1,107.4,0.48408,63.63,1.7121,"none","none","none","none",0.6,0.17304,0.80507,1,10,4,0,4,0,0,2,2,0,0,6,0,0,0,0,0,0,1,0,"NewGeroprotectors"
"1-(3-hydroxybut-1-yn-1-yl)-2,2,6-trimethylcyclohexane-1,4-diol","OC(C#CC1(O)C(C)CC(O)CC1(C)C)C",226.315,226.315,226.156895,1.4895,-4.015,3,3,183.73,0.2139,60.69,-4.534,"none","none","none","none",0.5625,0.3828,0.66621,1,16,3,0,3,4,1,1,1,0,0,14,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"9-methyl-3-oxa-9-azatricyclo[3.3.1.0¶ý,ƒ?ï]nonan-7-ol","OC1CC2N(C)C(C1)C3OC23",155.196,155.196,155.094629,-0.6483,-0.889,3,1,109.58,0.31301,36,2.9937,"none","none","none","none",0.54545,0.14475,0.81631,1,11,3,0,3,4,0,3,5,0,0,11,3,0,1,1,0,0,1,0,"NewGeroprotectors"
"2-amino-2-phenylpropanoic acid","O=C(O)C(N)(C=1C=CC=CC1)C",165.191,165.191,165.078979,-1.4654,-1.536,3,2,128.55,0.32213,63.32,-3.2009,"none","none","none","none",0.58333,0.63617,0.61481,1,12,3,0,3,1,2,1,1,1,6,4,2,0,1,1,0,0,1,1,"NewGeroprotectors"
"Indole-3-Carboxylic Acid","O=C(O)C1=CNC=2C=CC=CC21",161.16,161.16,161.047679,1.1841,-2.154,3,2,121.53,0.33021,53.09,0.67078,"none","none","none","none",0.58333,0.18718,0.74239,1,12,3,0,3,0,1,2,2,2,9,1,0,0,0,0,0,1,0,1,"NewGeroprotectors"
"(3R,4S,1'R)-3-(1'-Hydroxyethyl)-4-Methyldihydrofuran-2(3H)-One","O=C1OCC(C)C1C(O)C",144.169,144.169,144.078645,-0.049,-1.164,3,1,109.88,0.3289,46.53,-0.25099,"none","none","none","none",0.5,0.41928,0.7167,1,10,3,0,3,3,1,1,1,0,0,8,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-decahydronaphthalene-1,4-diol","OC1CCC(O)(C)C2CC(CCC12C)C(O)(C)C",256.384,256.384,256.203845,1.9892,-2.724,3,3,192.12,0.20456,60.69,0.17507,"none","none","none","none",0.44444,0.42494,0.78706,1,18,3,0,3,5,1,2,2,0,0,18,1,0,0,0,0,0,0,0,"NewGeroprotectors"
