Compound,Life_extended,CAS Number,SMILES,Canonical_SMILES
,0,,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
,0,,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1.Cl
,0,,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
,0,,COC(=O)N1C(=O)[C@@](N1C(=O)OC)(C2CCCC2)C3=CC=CC=C3,COC(=O)N1C(=O)[C@](c2ccccc2)(C2CCCC2)N1C(=O)OC
,0,,C1CCN(C1)C(=O)N2C=CN=N2,O=C(N1CCCC1)n1ccnn1
,0,,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
,0,,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3.C1=CC=C(C=C1)C(=O)O,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12.O=C(O)c1ccccc1
,0,,C1CN(CCC1=CC2=CC(=CC=C2)OC3=NC=C(C=C3)C(F)(F)F)C(=O)NC4=NN=CC=C4,O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1
,0,,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.O.O.[Na+].[Na+].[Fe+4],O.O.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+4].[N-]=O.[Na+].[Na+]
,0,,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1
,0,,CC(=O)/C=C\1/C2=CC=CC=C2N(C1=O)C,CC(=O)/C=C1\C(=O)N(C)c2ccccc21
,0,,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
,0,,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
,0,,CCCCCCCCCC[C@H]1[C@@H](OC1=O)CCC2=CC(=C(C=C2)OC)OC,CCCCCCCCCC[C@@H]1C(=O)O[C@H]1CCc1ccc(OC)c(OC)c1
,0,,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
,0,,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C.[Br-],CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C.[Br-]
