Compound,Life_extended,CAS Number,SMILES,Canonical_SMILES
,0,,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl
,0,,Fc1ccc(CN(C2=NCCN2)c2c(Cl)cccc2Cl)cc1,Fc1ccc(CN(C2=NCCN2)c2c(Cl)cccc2Cl)cc1
,0,,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
,0,,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1
,0,,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
,0,,CC(C)(C)NCC(O)c1ccccc1Cl,CC(C)(C)NCC(O)c1ccccc1Cl
,0,,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
,0,,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C
,0,,CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl
,0,,CC(C)CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,CC(C)CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl
,0,,NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N,NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N
,0,,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1O,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1O
,0,,Nc1nc(Cl)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1nc(Cl)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
,0,,Nc1c(S(=O)(=O)O)cc(Nc2ccc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)O)c4)n3)c(S(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O,Nc1c(S(=O)(=O)O)cc(Nc2ccc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)O)c4)n3)c(S(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O
,0,,COc1nc(C)nc(Cl)c1NC1=NCCN1,COc1nc(C)nc(Cl)c1NC1=NCCN1
,0,,Clc1nccc2c1ccc1ccccc12,Clc1nccc2c1ccc1ccccc12
,0,,Clc1ccc(N2CC3CCC(C2)N3)nn1,Clc1ccc(N2CC3CCC(C2)N3)nn1
,0,,O=C(NC(Cc1ccccc1)C(=O)CCl)OCc1ccccc1,O=C(NC(Cc1ccccc1)C(=O)CCl)OCc1ccccc1
,0,,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)CCl)cc1,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)CCl)cc1
,0,,Cc1ccc(S(=O)(=O)NC(CCCCN)C(=O)CCl)cc1,Cc1ccc(S(=O)(=O)NC(CCCCN)C(=O)CCl)cc1
,0,,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
,0,,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
,0,,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
,0,,CC(=O)OCCN(C)CCCl,CC(=O)OCCN(C)CCCl
,0,,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1
,0,,O=NN(CCCl)C(=O)NCCCl,O=NN(CCCl)C(=O)NCCCl
,0,,O=[N+]([O-])c1ccc(OC2OC(CO)C(O)C(O)C2F)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(OC2OC(CO)C(O)C(O)C2F)c([N+](=O)[O-])c1
,0,,FC(F)(F)c1cc(COC2CCCNC2c2ccccc2)cc(C(F)(F)F)c1,FC(F)(F)c1cc(COC2CCCNC2c2ccccc2)cc(C(F)(F)F)c1
,0,,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1
,0,,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
,0,,O=c1[nH]c2cc(C(F)(F)F)ccc2n1-c1cc(C(F)(F)F)ccc1O,O=c1[nH]c2cc(C(F)(F)F)ccc2n1-c1cc(C(F)(F)F)ccc1O
,0,,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
,0,,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
,0,,CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1
,0,,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
,0,,Cc1nnc2cc(-c3ccc(C(F)(F)F)cc3)cnn12,Cc1nnc2cc(-c3ccc(C(F)(F)F)cc3)cnn12
,0,,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
,0,,CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(=O)O,CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(=O)O
,0,,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
,0,,FC(F)(F)c1ccccc1-n1ccnc1,FC(F)(F)c1ccccc1-n1ccnc1
,0,,COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F,COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F
,0,,Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1,Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1
,0,,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
,0,,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F
,0,,CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O,CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O
,0,,O=c1[nH]cc(F)c(=O)[nH]1,O=c1[nH]cc(F)c(=O)[nH]1
,0,,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F
,0,,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
,0,,CCCN(CCC)C1CCc2c(F)ccc(O)c2C1,CCCN(CCC)C1CCc2c(F)ccc(O)c2C1
,0,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
,0,,CC(C)C1c2ccc(F)cc2CCC1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1,CC(C)C1c2ccc(F)cc2CCC1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1
,0,,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2
,0,,Fc1cccc(C=NN=Cc2cccc(F)c2)c1,Fc1cccc(C=NN=Cc2cccc(F)c2)c1
,0,,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
,0,,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C
,0,,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
,0,,O=C(O)c1cc2cc(F)ccc2[nH]1,O=C(O)c1cc2cc(F)ccc2[nH]1
,0,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
,0,,CCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccc(F)cc2)[nH]c2ccccc12,CCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccc(F)cc2)[nH]c2ccccc12
,0,,O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
,0,,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1
,0,,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1
,0,,CC1(C)C(=O)N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21,CC1(C)C(=O)N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21
,0,,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
,0,,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(F)cc2)c2ccccn2)CC1,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(F)cc2)c2ccccn2)CC1
,0,,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
,0,,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
,0,,CCCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,CCCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2
,0,,NC(Cc1ccc(F)cc1)C(=O)O,NC(Cc1ccc(F)cc1)C(=O)O
,0,,NC(=O)c1ccc(OCC(O)CN2CC=C(c3ccc(F)cc3)CC2)cc1,NC(=O)c1ccc(OCC(O)CN2CC=C(c3ccc(F)cc3)CC2)cc1
,0,,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(F)cc1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(F)cc1
,0,,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N
,0,,Nc1ncnc2n[nH]c(Nc3ccc(F)cc3)c12,Nc1ncnc2n[nH]c(Nc3ccc(F)cc3)c12
,0,,CC(C=Cc1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O,CC(C=Cc1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O
,0,,O=C(c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1F,O=C(c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1F
,0,,O=S(=O)(c1cccc2c(I)cccc12)N1CCCNCC1,O=S(=O)(c1cccc2c(I)cccc12)N1CCCNCC1
,0,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
,0,,COc1cc(C=C(C#N)C(=O)c2ccc(O)c(O)c2)cc(I)c1O,COc1cc(C=C(C#N)C(=O)c2ccc(O)c(O)c2)cc(I)c1O
,0,,NC(N)=NCc1cccc(I)c1,NC(N)=NCc1cccc(I)c1
,0,,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O
,0,,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C(O)C1O,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C(O)C1O
,0,,NC(Cc1ccc(O)c(I)c1)C(=O)O,NC(Cc1ccc(O)c(I)c1)C(=O)O
,0,,COc1cc(CC(C)N)c(OC)cc1I,COc1cc(CC(C)N)c(OC)cc1I
,0,,O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1,O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1
,0,,CC(C)NC(C)Cc1ccc(I)cc1,CC(C)NC(C)Cc1ccc(I)cc1
,0,,Ic1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,Ic1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1
,0,,NC(=O)CI,NC(=O)CI
,0,,C#CCNC(C)Cc1ccccc1,C#CCNC(C)Cc1ccccc1
,0,,CCc1cccc(N(C)C(N)=Nc2cccc3ccccc23)c1,CCc1cccc(N(C)C(N)=Nc2cccc3ccccc23)c1
,0,,CC(N)=NCc1cccc(CN)c1,CC(N)=NCc1cccc(CN)c1
,0,,NC(N)=NC(N)=Nc1ccccc1,NC(N)=NC(N)=Nc1ccccc1
,0,,CNC1(C)C2CCC(C2)C1(C)C,CNC1(C)C2CCC(C2)C1(C)C
,0,,C#CCN(C)Cc1ccccc1,C#CCN(C)Cc1ccccc1
,0,,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
,0,,CN(C)CCC=C1c2ccccc2CCc2ccccc21,CN(C)CCC=C1c2ccccc2CCc2ccccc21
,0,,CNCCCCCNCCC1CC2CCCC(C2)C1,CNCCCCCNCCC1CC2CCCC(C2)C1
,0,,CNCCCC1c2ccccc2C=Cc2ccccc21,CNCCCC1c2ccccc2C=Cc2ccccc21
,0,,NC(N)=NCCCCN=C(N)N,NC(N)=NCCCCN=C(N)N
,0,,CN(C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2ccccc21
,0,,CNCCCN1c2ccccc2CCc2ccccc21,CNCCCN1c2ccccc2CCc2ccccc21
,0,,NNCCc1ccccc1,NNCCc1ccccc1
,0,,CCCN1CCCC(c2cccc(C#N)c2)C1,CCCN1CCCC(c2cccc(C#N)c2)C1
,0,,CC12NC(Cc3ccccc31)c1ccccc12,CC12NC(Cc3ccccc31)c1ccccc12
,0,,C1CCc2nnnn2CC1,C1CCc2nnnn2CC1
,0,,Cc1cccc(C=Cc2ccccc2)n1,Cc1cccc(C=Cc2ccccc2)n1
,0,,Cc1cccc(C#Cc2ccccc2)n1,Cc1cccc(C#Cc2ccccc2)n1
,0,,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
,0,,CN(C)c1nc(N(C)C)nc(N(C)C)n1,CN(C)c1nc(N(C)C)nc(N(C)C)n1
,0,,CCCN1CCCC2Cc3nc(N)ncc3CC21,CCCN1CCCC2Cc3nc(N)ncc3CC21
,0,,CC(C)Cn1cnc2c(N)nc3ccccc3c21,CC(C)Cn1cnc2c(N)nc3ccccc3c21
,0,,c1ccc2nc(N3CCNCC3)ccc2c1,c1ccc2nc(N3CCNCC3)ccc2c1
,0,,Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1cccnc1N2,Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1cccnc1N2
,0,,CN1CCCC1c1cccnc1,CN1CCCC1c1cccnc1
,0,,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1
,0,,Nc1ccncc1,Nc1ccncc1
,0,,CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C,CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C
,0,,c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1
,0,,CN(C)CCC(c1ccccc1)c1ccccn1,CN(C)CCC(c1ccccc1)c1ccccn1
,0,,Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1,Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1
,0,,Cn1ccnc1,Cn1ccnc1
,0,,Cc1ccccc1C=CC1=NCCN1,Cc1ccccc1C=CC1=NCCN1
,0,,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
,0,,Nc1ncnc2c1ncn2C1CCCC1,Nc1ncnc2c1ncn2C1CCCC1
,0,,Cn1cnc2c(NC3CCCC3)ncnc21,Cn1cnc2c(NC3CCCC3)ncnc21
,0,,Nn1nnc2ccccc21,Nn1nnc2ccccc21
,0,,N=C(N)N1CCc2ccccc2C1,N=C(N)N1CCc2ccccc2C1
,0,,CC12CC3CC(C)(C1)CC(N)(C3)C2,CC12CC3CC(C)(C1)CC(N)(C3)C2
,0,,CN1Cc2c(N)cccc2C(c2ccccc2)C1,CN1Cc2c(N)cccc2C(c2ccccc2)C1
,0,,N#CCCN,N#CCCN
,0,,NCCCCCCCCCCN,NCCCCCCCCCCN
,0,,CC(C[N+](C)(C)C)OC(N)=O,CC(C[N+](C)(C)C)OC(N)=O
,0,,CC(=O)OC(C)C[N+](C)(C)C,CC(=O)OC(C)C[N+](C)(C)C
,0,,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1N)C2,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1N)C2
,0,,Cc1ccccc1C(OCCN(C)C)c1ccccc1,Cc1ccccc1C(OCCN(C)C)c1ccccc1
,0,,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C
,0,,CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C,CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C
,0,,CNCCC(Oc1ccccc1C)c1ccccc1,CNCCC(Oc1ccccc1C)c1ccccc1
,0,,CNC(=O)OCC[N+](C)(C)C,CNC(=O)OCC[N+](C)(C)C
,0,,COC(=O)C(N)CCCN=C(N)N[N+](=O)[O-],COC(=O)C(N)CCCN=C(N)N[N+](=O)[O-]
,0,,COC(=O)C(NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1,COC(=O)C(NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1
,0,,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
,0,,C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
,0,,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
,0,,C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1,C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1
,0,,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1
,0,,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
,0,,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O
,0,,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1
,0,,CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O,CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O
,0,,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C
,0,,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
,0,,C#CCN1C(C)=C(C(=O)OC)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C1C,C#CCN1C(C)=C(C(=O)OC)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C1C
,0,,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
,0,,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
,0,,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
,0,,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
,0,,COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1,COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1
,0,,C[N+]1(C)C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,C[N+]1(C)C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2
,0,,CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2
,0,,O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12,O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12
,0,,CCN(CC)CCOC(=O)c1ccc(N)cc1,CCN(CC)CCOC(=O)c1ccc(N)cc1
,0,,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
,0,,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C
,0,,COC(=O)c1cc2c(cn1)[nH]c1ccccc12,COC(=O)c1cc2c(cn1)[nH]c1ccccc12
,0,,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
,0,,CCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1,CCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1
,0,,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
,0,,CNC(=O)Oc1ccc2c(c1)C1CCN(C)C1N2C,CNC(=O)Oc1ccc2c(c1)C1CCN(C)C1N2C
,0,,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
,0,,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1
,0,,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2
,0,,CN(C)CCOC(c1ccccc1)c1ccccc1,CN(C)CCOC(c1ccccc1)c1ccccc1
,0,,COC1=C(OC)C(=O)c2ccccc2C1=O,COC1=C(OC)C(=O)c2ccccc2C1=O
,0,,COc1cc(=O)n(C)c2c(OCC(O)C(C)(C)O)cccc12,COc1cc(=O)n(C)c2c(OCC(O)C(C)(C)O)cccc12
,0,,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
,0,,COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC
,0,,CCN(CC)CCCCCCCCOC(=O)c1cc(OC)c(OC)c(OC)c1,CCN(CC)CCCCCCCCOC(=O)c1cc(OC)c(OC)c(OC)c1
,0,,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC
,0,,COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1,COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1
