Compound,Life_extended,CAS Number,SMILES
,0,,O=C(c1ccc2c(c1)OCCO2)N1CCCCC1
,0,,NC(Cn1oc(=O)[nH]c1=O)C(=O)O
,0,,CCOC([O-])=Nc1c[n+](N2CCOCC2)no1
,0,,O=c1onc2cnc3ccccc3n12
,0,,Cc1o[nH]c(=O)c1CC(N)C(=O)O
,0,,CC(C)(C)c1o[nH]c(=O)c1CC(N)C(=O)O
,0,,NC(C(=O)O)c1cc(=O)[nH]o1
,0,,Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1
,0,,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1
,0,,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O
,0,,NC(C(=O)O)C1CC1C(=O)O
,0,,O=C(O)C1CCCNC1C(=O)O
,0,,O=C(O)C1CCCNC1
,0,,C=C(C)C1CNC(C(=O)O)C1CC(=O)O
,0,,CC(C)C1CNC(C(=O)O)C1CC(=O)O
,0,,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
,0,,NC(C(=O)O)C(O)C(=O)O
,0,,C=CCC(N)C(=O)O
,0,,CN(C)C(N)=NCCCC(N)C(=O)O
,0,,NC(=NCCCC(N)C(=O)O)N[N+](=O)[O-]
,0,,NC(=NCCCC(N)C(=O)O)NO
,0,,CC(N)=NCCCCC(N)C(=O)O
,0,,Cc1cc(Cn2cnc3c2CC(C(=O)O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)ccc1N
,0,,O=C(O)CCC(=O)N1CCCC1C(=O)O
,0,,O=C(O)C1CC(C(=O)O)N1
,0,,O=C(O)C1CCN1
,0,,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
,0,,NC(=O)C(=O)O
,0,,Cc1cc(C)c(NC(=O)CC(CC(=O)O)c2cccc3ccccc23)c(C(=O)N2CCC3(CCCC3)CC2)c1
,0,,CNC(CC(=O)O)C(=O)O
,0,,C=C(C)C1CC=C(C(=O)O)CC1
,0,,NC1(C(=O)O)CCC(C(=O)O)C1
,0,,NC1(C(=O)O)CCc2cc(C(=O)O)ccc21
,0,,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1
,0,,CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1
,0,,CC(=Cc1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
,0,,CC(N)(C(=O)O)c1ccc(C(=O)O)cc1
,0,,O=C(O)CCC(NC(=O)c1ccccc1C(=O)O)C(=O)O
,0,,O=C(O)c1ccccc1Nc1ccccc1
,0,,O=C(O)C1CCNCC1
,0,,CCCCc1ccc(C(=O)O)nc1
,0,,NC(N)=NC(CCC(=O)O)C(=O)O
,0,,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
,0,,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1
,0,,CC1(C)CCC(NC(=O)C(N)CCC(=O)O)CC1
,0,,C#CC(N)CCC(=O)O
,0,,C=CC(N)CCC(=O)O
,0,,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1
,0,,O=C(O)CC[N+](=O)[O-]
,0,,NCC1(CC(=O)O)CCCCC1
,0,,NC(CCCC(=O)O)C(=O)O
,0,,CCCCCC(O)CCCC(=O)O
,0,,CCCCCCCCCCCC=CC(C)(C)C=CCCCC(=O)O
,0,,O=C(O)CCCCCCCC(=O)O
,0,,NCCCCCC(=O)O
,0,,NCCCC(=O)O
,0,,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O
,0,,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCC(=O)O
,0,,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
,0,,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
,0,,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
,0,,CCCCCC(CC(=O)NO)C(=O)NC(C(=O)N1CCCC1CO)C(C)C
,0,,CCCCCCCCCCCCCC=CC(O)C(N)CO
,0,,CCCCCCCCCCCCCCCC(O)C(N)CO
,0,,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1
,0,,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
,0,,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
,0,,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
,0,,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O
,0,,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
,0,,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C
,0,,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C
,0,,C#CC1(O)CCC2C3CCC4=Cc5nc6nc7ccccc7n6cc5CC4(C)C3CCC21C
,0,,CC(C)(C)C1(O)CCN2CC3c4ccccc4CCc4cccc(c43)C2C1
,0,,CC12CCC3C(CCC4=C(O)C(=O)CCC43C)C1CCC2=O
,0,,CCN1CC2(C)CCC(O)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O
,0,,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3
,0,,CCCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3
,0,,O=[N+]([O-])c1cc(O)c(O)c([N+](=O)[O-])c1
,0,,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
,0,,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O
,0,,CC(C)(C=O)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
,0,,CC(C)(CO)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
,0,,CC(C)c1cccc(C(C)C)c1O
,0,,N#CC(=Cc1cc(O)c(O)c(O)c1)C(N)=C(C#N)C#N
,0,,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1
,0,,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
,0,,O=c1[nH]ccc2c(O)cccc12
,0,,CCCN(CCc1ccccc1)C1CCc2c(O)cccc2C1
,0,,CC[N+](C)(C)c1cccc(O)c1
,0,,NC(C(=O)O)c1cc(O)cc(O)c1
,0,,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
,0,,CC(C)NCC(O)c1cc(O)cc(O)c1
,0,,CCCN1CCCC(c2cccc(O)c2)C1
,0,,CNCC(O)c1cccc(O)c1
,0,,CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1
,0,,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1
,0,,NCC(O)c1ccc(O)c(O)c1
,0,,CC(N)C(O)c1ccc(O)c(O)c1
,0,,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
,0,,CC(NC(=O)C(C#N)=Cc1ccc(O)c(O)c1)c1ccccc1
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)N1CCc2ccccc21
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)Nc1ccccc1
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCCc1ccccc1
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCCCNC(=O)C(C#N)=Cc1ccc(O)c(O)c1
,0,,N#CC(=Cc1c[nH]c2ccccc12)C(=O)c1ccc(O)c(O)c1
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)c1ccc(O)c(O)c1
,0,,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O
,0,,NC(Cc1ccc(O)c(O)c1)C(=O)O
,0,,COC(=O)C(N)Cc1ccc(O)c(O)c1
,0,,N#CC(C#N)=Cc1ccc(O)c(O)c1
,0,,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O
,0,,O=C(O)Cc1ccc(O)c(O)c1
,0,,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
,0,,CNCCc1ccc(O)c(O)c1
,0,,CC(=O)NCCc1ccc(O)c(O)c1
,0,,CCCCCCCCC=CCCCCCCCC(=O)NCCc1ccc(O)c(O)c1
,0,,NC(Cc1cc(O)c(O)cc1O)C(=O)O
,0,,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
,0,,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O
,0,,Cc1[nH]c2ccc(O)cc2c1CCN
,0,,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
,0,,CC(N)Cc1c[nH]c2ccc(O)cc12
,0,,CN1CCC(c2c[nH]c3ccc(O)cc23)CC1
,0,,O=C(O)Cc1c[nH]c2ccc(O)cc12
,0,,CC(=O)NCCc1c[nH]c2ccc(O)cc12
,0,,CNCCc1c[nH]c2ccc(O)cc12
,0,,C=CCN1CCC2(C)c3cc(O)ccc3CC1C2C
,0,,CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1
,0,,C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1
,0,,CN1CCC2(C)c3cc(O)ccc3N(C)C12
,0,,CN1CCC23CCCCC2C1Cc1ccc(O)cc13
,0,,C=CCN1CCC23CCCCC2C1Cc1ccc(O)cc13
,0,,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O
,0,,CC(CN1CCC(Cc2ccccc2)CC1)C(O)c1ccc(O)cc1
,0,,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1
,0,,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1
,0,,CNCC(O)c1ccc(O)cc1
,0,,N#CC(=Cc1ccc(O)cc1)C(N)=C(C#N)C#N
,0,,NNC(=O)c1ccc(O)cc1
,0,,CCCc1c(-c2ccc(O)cc2)nn(-c2ccc(O)cc2)c1-c1ccc(O)cc1
,0,,CC(N)(Cc1ccc(O)cc1)C(=O)O
,0,,COC(=O)C(C)(N)Cc1ccc(O)cc1
,0,,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1
,0,,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
,0,,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O
,0,,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
,0,,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1
,0,,Oc1ccc(O)cc1
,0,,O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O
,0,,Oc1ccccc1O
,0,,C[N+](C)(C)CCO
,0,,CCCCCC=CCC(O)C=Cc1cccc(CC(O)CCCCO)n1
,0,,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
,0,,CCCCCCCCC=CCCCCCCCC(=O)NCCO
,0,,CCCCCCCCCCCCCCCC(=O)NCCO
,0,,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21
,0,,N=c1nc(N2CCCCC2)cc(N)n1O
,0,,CP(=O)(O)C1=CCNCC1
,0,,CP(=O)(O)CCCN
,0,,CC1OC1P(=O)(O)O
,0,,NC(CP(=O)(O)O)C(=O)O
,0,,O=C(O)CP(=O)(O)O
,0,,NC(CCP(=O)(O)O)C(=O)O
,0,,NC(Cc1cccc(-c2ccccc2CP(=O)(O)O)c1)C(=O)O
,0,,CC(C)(CCP(=O)(O)O)C(=O)O
,0,,NC(CCCP(=O)(O)O)C(=O)O
,0,,NC(CCCCCP(=O)(O)O)C(=O)O
,0,,NCCCP(=O)(O)O
,0,,O=C(O)C1CN(CCCP(=O)(O)O)CCN1
,0,,CC(C)(C)c1onc(OCP(=O)(O)O)c1CC(N)C(=O)O
,0,,CNc1ncnc2c1ncn2C1CC(OP(=O)(O)O)C(COP(=O)(O)O)O1
,0,,CC(C)CC(NP(=O)(O)OC1OC(C)C(O)C(O)C1O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
,0,,NC(COP(=O)(O)O)C(=O)O
,0,,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1
,0,,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O
,0,,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
,0,,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)CP(=O)(O)OP(=O)(O)O)C(O)C1O
,0,,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C(O)C1O
,0,,CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC
,0,,CCCCCCCCCCCCCCCC(=O)NCC(COP(=O)([O-])OCC[N+](C)(C)C)OCC
,0,,CCCCCCCCCCCCCCCCCC(=O)NCC(COP(=O)([O-])OCC[N+](C)(C)C)OCC
,0,,Cc1nc(N=Nc2ccc(C(=O)O)cc2)c(COP(=O)(O)O)c(C=O)c1O
,0,,CC(C)NP(=O)(NC(C)C)OP(=O)(NC(C)C)NC(C)C
,0,,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O
,0,,N#CC(=C(N)Sc1ccccc1N)C(C#N)=C(N)Sc1ccccc1N
,0,,CSC(N)=NCCCC(N)C(=O)O
,0,,CC(C)(C)c1ccc(S(=O)(=O)C=CC#N)cc1
,0,,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC
,0,,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)(=O)=O)cc1
,0,,Cc1ccccc1N1CCN(S(=O)(=O)CC23CCC(CC2NC(=O)C(N)CCS(C)(=O)=O)C3(C)C)CC1
,0,,CN(C)S(=O)(=O)c1ccc2c(c1)C(=Cc1cc3c([nH]1)CCCC3)C(=O)N2
,0,,NS(=O)(=O)C#Cc1ccccc1
,0,,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1[nH]c(=O)c(=O)[nH]c12
,0,,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
,0,,CN1CC(NS(=O)(=O)N(C)C)CC2c3cccc4c3c(cn4C)CC21
,0,,CC1CN(S(=O)(=O)c2cccc3cnccc23)CCN1
,0,,CC1CCN(CCC2CCCN2S(=O)(=O)c2cccc(O)c2)CC1
,0,,CC1CNCCN1S(=O)(=O)c1cccc2cnccc12
,0,,O=S(=O)(c1cccc2cnccc12)N1CCNCC1
,0,,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
,0,,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
,0,,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
,0,,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
,0,,CCS(=O)(=O)Nc1cccc(C(=C2CCCCC2)c2cnc[nH]2)c1
,0,,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
,0,,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
,0,,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
,0,,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
,0,,CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1
,0,,Cn1cc(C(=O)OCC2CCN(CCNS(C)(=O)=O)CC2)c2ccccc21
,0,,COc1[nH]c2ccc(F)cc2c1C(=O)OCC1CCN(CCNS(C)(=O)=O)CC1
,0,,CNCCNS(=O)(=O)c1cccc2cnccc12
,0,,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1
,0,,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1
,0,,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)C3C1CCC2O
,0,,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
,0,,CC(=O)SCC[N+](C)(C)C
,0,,CCCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)SCC)c1CCC
,0,,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(=O)O
,0,,CSC(=N)N
,0,,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1
,0,,CSc1nc(N)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)O)C(O)C3O)c2n1
,0,,CSc1nc(N)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3O)c2n1
,0,,CC(C)=CCCC(C)=CCCC(C)=CCSc1ccccc1C(=O)O
,0,,N#CSc1ccc2oc(C3=NCCN3)cc2c1
,0,,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
,0,,[N-]=[N+]=Nc1ccc(C(=O)CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)cc1
,0,,Nc1nc(SCc2ccc([N+](=O)[O-])cc2)c2ncn(C3OC(CO)C(O)C3O)c2n1
,0,,O=[N+]([O-])c1ccc(CSc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1
,0,,CN=C(NC#N)NCCSCc1nc[nH]c1C
,0,,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
,0,,CCCCCCCCCCCCCCSCC(=O)O
,0,,CN(C)CCCCSC(=N)N
,0,,NC(=O)COc1c(F)cc(SCCNS(=O)(=O)c2ccccc2)cc1F
,0,,O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21
,0,,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCCOC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O
,0,,CC(=O)NC(C(=O)O)C(C)(C)SN=O
,0,,NC(CCC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(=O)O
,0,,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1
,0,,O=C(Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c1)Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c1
,0,,Cc1nc(N=Nc2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)c(COP(=O)(O)O)c(C=O)c1O
,0,,Cn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)O)cc3)nc2n(C)c1=O
,0,,CCCn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)O)cc3)nc2n(CCC)c1=O
,0,,C=CCn1c(=O)c2c(nc(-c3ccc(S(=O)(=O)O)cc3)n2C)n(C)c1=O
,0,,O=S(=O)(O)C1CCNCC1
,0,,NCCCS(=O)(=O)O
,0,,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
,0,,NC(CCC(=O)NCS(=O)(=O)O)C(=O)O
,0,,NC(C[S+]([O-])O)C(=O)O
,0,,NCC[S+]([O-])O
,0,,CC12CCC3C(CC=C4CC(OS(=O)(=O)O)CCC43C)C1CCC2=O
,0,,COc1cc(C(O)CO)ccc1OS(=O)(=O)O
,0,,NCCCNCCSP(=O)(O)O
,0,,CCN(CC)C(=S)SSC(=S)N(CC)CC
,0,,CC(C)CC(N)CSSCC(N)CC(C)C
,0,,CCN1C(=CC(C)=O)Sc2ccc(OC)cc21
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(N)=S
,0,,CC(C)(C)c1cc(C=C(C#N)C(N)=S)cc(C(C)(C)C)c1O
,0,,NC(=S)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])O)C3O)C(O)C2O)c1
,0,,NC(=S)NCCCC(N)C(=O)O
,0,,Oc1ccc(Cn2cc[nH]c2=S)cc1
,0,,O=c1c2ccccc2[nH]c(=S)n1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1
,0,,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
,0,,CC1CCN=C(N)S1
,0,,COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21
,0,,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1
,0,,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1
,0,,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1
,0,,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1
,0,,CCC1SC2(CCN(C)CC2)NC1=O
,0,,NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)[O-])C3SC2)cc1
,0,,C=CC(C)=CC1(C)SC(=O)C(C)=C1O
,0,,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
,0,,CC(=O)Nc1nnc(S(N)(=O)=O)s1
,0,,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1
,0,,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(Cn2c(CC)nc3c(C)cc(C)nc32)cc1
,0,,CC1OC(C[N+](C)(C)C)CS1
,0,,COc1cccc(OC)c1OCCNCC1CSc2ccccc2O1
,0,,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1
,0,,CC[n+]1c(C=CC=C2N(C)c3ccccc3C2(C)C)sc2ccccc21
,0,,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
,0,,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
,0,,Cc1sc2ccccc2c1CC1=NCCN1
,0,,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21
,0,,CN(C)CCCN1c2ccccc2Sc2ccccc21
,0,,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
,0,,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1
,0,,COc1cccc2c1C1CN(CCCCn3c(=O)[nH]c4c(sc5ncc(-c6ccccc6)nc54)c3=O)CC1CO2
,0,,CC#CCOC(=O)c1c(C)nc2sc3c(c2c1N)CCC(O)C3
,0,,Nc1nc2ccc(OC(F)(F)F)cc2s1
,0,,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1
,0,,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1
,0,,Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O
,0,,COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1
,0,,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
,0,,CN(C)CCN(Cc1cccs1)c1ccccn1
,0,,CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12
,0,,Cc1cccc(C)c1NC1=NCCCS1
,0,,S=C(Nc1ccccc1)Nc1nccs1
,0,,Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1
,0,,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1
,0,,S=C(S)N1CCCC1
,0,,S=C(S)OC1CC2CC1C1CCCC21
,0,,O=C(O)CNC(=O)C(CS)Cc1ccccc1
,0,,NCC=CC(=O)O
,0,,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
,0,,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1
,0,,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
,0,,C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
,0,,CC(C)Cc1ccc(C(C)C(=O)O)cc1
,0,,CNCC(O)c1ccc(O)c(O)c1
,0,,CC(C)NCC(O)c1ccc(O)c(O)c1
,0,,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
,0,,C[N+](C)(C)CCCCCC[N+](C)(C)C
,0,,OCC1OC(S)C(O)C(O)C1O
,0,,Brc1c(NC2=NCCN2)ccc2nccnc12
,0,,O=c1cc(-c2ccccc2)[nH]c2nc(Cl)ccc12
,0,,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21
,0,,CN1CCN(c2ccc3ccccc3n2)CC1
,0,,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
,0,,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O
,0,,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1)OCO3
,0,,CN(C(=O)Cc1ccccc1)C1CCC2(CCCO2)CC1N1CCCC1
,0,,NC1CONC1=O
,0,,C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C
,0,,CS(=N)(=O)CCC(N)C(=O)O
,0,,CCCCS(=N)(=O)CCC(N)C(=O)O
,0,,NS(=O)(=O)Cc1noc2ccccc12
,0,,N=C1Sc2ccccc2C2=NCCCN12
,0,,C#CCN(C)C(C)Cc1ccccc1
,0,,COc1cc2c3cc1Oc1c(OC)c(OC)cc4c1C(Cc1ccc(O)c(c1)Oc1ccc(cc1)CC3N(C)CC2)N(C)CC4
,0,,C=C1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12
,0,,NC1CC1c1ccccc1
,0,,NCCc1cnc[nH]1
,0,,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
,0,,CC(CCCN(C)C)C1CCC2C3CCC4CCCCC4(C)C3CCC12C
,0,,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
,0,,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)NCCO
,0,,COc1ccc(OC)c2c1CCCC2=O
,0,,O=C1CCCc2ccc(O)cc21
